age,gender,height,weight,bmi,calories_intake,exercise_type,intensity_level,duration_minutes,frequency_per_week,estimated_calorie_burn
20,male,1.93,113,30.3,3904,cardio,high,20,6,387
51,male,1.83,62,18.5,3427,yoga,low,28,4,124
43,female,1.54,114,48.1,3285,cardio,high,30,6,586
20,female,1.62,82,31.2,2815,cardio,high,30,5,421
25,female,1.66,103,37.4,2680,cardio,high,30,6,529
63,male,1.68,80,28.3,2533,yoga,low,25,2,142
64,female,1.88,40,11.3,3722,yoga,low,20,3,57
41,male,1.54,86,36.3,3541,cardio,high,30,6,442
63,male,1.55,110,45.8,2036,yoga,low,24,3,188
59,female,1.51,120,52.6,3993,yoga,low,23,4,197
25,female,1.73,110,36.8,3171,cardio,high,21,5,396
22,female,1.92,59,16.0,3541,strength,low,20,6,84
33,female,1.66,101,36.7,3434,cardio,high,23,6,398
50,male,1.64,116,43.1,3581,yoga,high,22,2,437
32,female,1.62,104,39.6,2594,cardio,high,20,6,356
61,female,1.87,114,32.6,3505,yoga,low,22,3,179
49,female,1.62,110,41.9,3725,cardio,high,26,6,490
35,male,1.94,70,18.6,3842,cardio+strength,high,52,4,624
64,female,1.47,100,46.3,3061,yoga,low,26,4,185
65,male,1.7,44,15.2,2017,yoga,low,20,4,62
52,female,1.88,96,27.2,1908,yoga,low,28,3,192
15,male,1.65,59,21.7,1806,bodyweight,low,40,3,168
65,female,1.62,90,34.3,1828,yoga,low,25,4,160
49,female,1.93,120,32.2,3498,cardio,high,28,5,576
54,male,1.57,76,30.8,2431,yoga,low,21,3,113
21,male,1.67,78,28.0,1618,cardio+strength,medium,31,4,276
65,male,1.6,87,34.0,3264,yoga,low,22,2,136
48,female,1.73,63,21.0,2196,cardio+strength,medium,30,3,216
54,female,1.76,70,22.6,3538,yoga,low,29,2,145
29,female,1.77,98,31.3,2545,cardio,high,30,5,503
44,female,1.79,60,18.7,1802,cardio+strength,medium,39,4,267
52,female,1.77,94,30.0,2524,yoga,low,27,3,181
27,female,1.88,53,15.0,2471,strength,low,20,4,75
51,female,1.74,77,25.4,1589,yoga,low,30,3,165
32,male,1.73,46,15.4,3983,strength,low,20,6,65
46,female,1.84,69,20.4,3986,cardio+strength,medium,51,4,402
55,male,1.76,57,18.4,1897,yoga,low,20,4,81
56,male,1.6,96,37.5,1636,yoga,low,29,3,198
61,male,1.5,77,34.2,2838,yoga,low,26,2,143
27,male,1.84,86,25.4,3674,cardio+strength,high,56,5,825
25,female,1.91,101,27.7,2708,cardio+strength,medium,40,3,461
44,male,1.52,68,29.4,3127,cardio+strength,high,57,5,664
20,female,1.46,108,50.7,2006,cardio,high,27,6,499
58,female,1.74,87,28.7,1943,yoga,low,30,2,186
45,male,1.76,111,35.8,2843,cardio,high,29,5,551
56,male,1.77,99,31.6,2737,yoga,low,30,3,212
22,male,1.47,44,20.4,2746,cardio+strength,medium,45,3,226
21,male,1.89,57,16.0,3091,strength,low,20,5,81
38,female,1.74,59,19.5,3199,cardio+strength,medium,60,4,404
46,female,1.92,75,20.3,1634,cardio+strength,medium,36,3,308
43,female,1.93,86,23.1,1906,cardio+strength,medium,36,4,353
18,female,1.59,55,21.8,3362,cardio+strength,medium,42,6,264
28,male,1.48,82,37.4,2497,cardio,high,22,5,309
19,male,1.74,69,22.8,2845,cardio+strength,medium,34,5,268
15,female,1.88,58,16.4,2032,bodyweight,low,20,3,82
49,female,1.85,54,15.8,1605,strength,low,20,3,77
15,female,1.84,70,20.7,3911,bodyweight,low,50,3,250
16,male,1.58,56,22.4,3224,bodyweight,low,56,3,224
22,male,1.69,86,30.1,3602,cardio,high,29,5,427
43,male,1.92,45,12.2,3635,strength,low,20,5,64
44,male,1.48,101,46.1,3145,cardio,high,26,5,450
46,female,1.49,50,22.5,2819,cardio+strength,medium,29,3,165
23,female,1.76,114,36.8,3746,cardio,high,25,6,488
53,female,1.68,117,41.5,3262,yoga,low,21,4,175
22,male,1.67,69,24.7,3194,cardio+strength,high,50,5,591
40,female,1.81,80,24.4,3248,cardio+strength,medium,50,6,457
31,female,1.93,100,26.8,1774,cardio+strength,medium,32,3,365
20,female,1.5,87,38.7,2032,cardio,high,28,5,417
52,female,1.79,92,28.7,2948,yoga,low,30,3,197
61,male,1.93,116,31.1,2779,yoga,low,25,2,207
51,male,1.53,101,43.1,2418,yoga,low,21,3,151
50,female,1.51,75,32.9,3851,yoga,high,23,3,295
50,male,1.75,74,24.2,1618,yoga,medium,30,3,253
59,female,1.91,84,23.0,1525,yoga,low,22,2,132
51,female,1.48,43,19.6,1875,yoga,low,28,2,86
39,female,1.68,60,21.3,3015,cardio+strength,medium,49,6,336
35,male,1.89,59,16.5,2144,strength,low,20,5,84
18,male,1.59,94,37.2,3489,cardio,high,29,6,467
41,female,1.56,105,43.1,1966,cardio,high,25,6,450
22,female,1.79,115,35.9,3493,cardio,high,28,6,552
17,male,1.65,116,42.6,1724,bodyweight,low,20,3,165
28,female,1.92,57,15.5,2546,strength,low,20,4,81
35,male,1.45,95,45.2,2219,cardio,high,22,6,358
49,male,1.7,85,29.4,1795,cardio+strength,medium,37,3,359
42,male,1.68,49,17.4,2782,strength,low,20,4,70
51,female,1.8,93,28.7,2685,yoga,low,21,3,139
16,female,1.54,119,50.2,3384,bodyweight,low,25,3,212
20,female,1.87,71,20.3,3284,cardio+strength,medium,58,5,470
48,male,1.65,79,29.0,2890,cardio+strength,medium,32,4,288
64,male,1.49,54,24.3,3673,yoga,low,28,2,108
64,female,1.63,58,21.8,2467,yoga,low,21,2,87
31,male,1.54,59,24.9,1808,cardio+strength,medium,35,5,236
46,female,1.83,114,34.0,3338,cardio,high,30,6,586
55,female,1.53,48,20.5,3420,yoga,low,27,4,92
34,female,1.75,85,27.8,3578,cardio+strength,high,42,5,612
44,female,1.47,87,40.3,2675,cardio,high,21,5,313
54,female,1.68,110,39.0,1668,yoga,low,27,4,212
56,male,1.61,100,38.6,3553,yoga,low,22,2,157
43,male,1.86,83,24.0,1845,cardio+strength,medium,30,3,284
30,female,1.95,107,28.1,3641,cardio+strength,high,59,4,1082
38,female,1.91,89,24.4,3174,cardio+strength,medium,50,6,508
53,male,1.84,82,24.2,1769,yoga,low,25,2,146
50,female,1.59,117,46.3,2115,yoga,high,25,2,501
52,male,1.91,79,21.7,3105,yoga,low,22,4,124
60,male,1.6,88,34.4,2845,yoga,low,22,4,138
59,male,1.77,94,30.0,3582,yoga,low,25,2,167
38,female,1.54,67,28.3,2899,cardio+strength,medium,40,3,306
29,male,1.53,77,32.9,1914,cardio,high,28,5,369
57,female,1.89,119,33.3,2036,yoga,low,29,3,246
24,male,1.54,119,50.2,2178,cardio,high,27,5,550
41,female,1.79,70,21.8,3319,cardio+strength,medium,59,5,472
63,female,1.57,70,28.4,2767,yoga,low,27,2,135
38,female,1.68,76,26.9,3064,cardio+strength,high,56,6,729
41,male,1.86,117,33.8,2066,cardio,high,24,5,481
56,female,1.89,110,30.8,1920,yoga,low,28,2,220
33,male,1.83,74,22.1,3340,cardio+strength,high,56,4,710
42,male,1.92,68,18.4,3347,strength,low,20,5,97
16,female,1.48,104,47.5,3031,bodyweight,low,23,3,170
39,male,1.64,43,16.0,2805,strength,low,20,3,61
60,female,1.85,57,16.7,1656,yoga,low,20,3,81
45,male,1.83,100,29.9,3337,cardio+strength,high,59,4,1011
20,male,1.58,59,23.6,3747,cardio+strength,high,59,6,596
42,male,1.84,70,20.7,2733,cardio+strength,medium,28,3,224
30,female,1.77,119,38.0,3372,cardio,high,21,5,428
46,male,1.77,113,36.1,2490,cardio,high,22,6,426
42,male,1.76,70,22.6,3837,cardio+strength,high,53,4,636
57,male,1.71,86,29.4,1777,yoga,low,28,4,172
47,male,1.65,100,36.7,1678,cardio,high,30,6,514
38,female,1.82,85,25.7,1776,cardio+strength,medium,36,3,349
61,male,1.84,82,24.2,2046,yoga,low,20,3,117
49,female,1.86,62,17.9,3403,strength,low,20,6,88
45,male,1.86,48,13.9,3374,strength,low,20,4,68
33,male,1.47,65,30.1,1671,cardio,high,25,6,278
47,female,1.94,109,29.0,3439,cardio+strength,high,48,4,896
63,male,1.59,46,18.2,2859,yoga,low,20,3,65
22,female,1.67,91,32.6,3301,cardio,high,26,6,405
26,female,1.8,87,26.9,3626,cardio+strength,high,48,4,715
61,female,1.49,117,52.7,2239,yoga,low,28,3,234
35,male,1.49,77,34.7,2755,cardio,high,27,6,356
25,female,1.63,45,16.9,2944,strength,low,20,5,64
42,female,1.77,47,15.0,1807,strength,low,20,4,67
38,male,1.93,58,15.6,3988,strength,low,20,6,82
65,female,1.47,48,22.2,2466,yoga,low,30,3,102
38,female,1.92,44,11.9,3978,strength,low,20,4,62
58,female,1.92,87,23.6,3318,yoga,low,21,4,130
23,female,1.65,75,27.5,2522,cardio+strength,medium,33,3,282
62,male,1.7,89,30.8,3800,yoga,low,21,3,133
64,female,1.8,67,20.7,2669,yoga,low,27,2,129
22,male,1.88,97,27.4,2207,cardio+strength,medium,44,3,487
58,female,1.78,48,15.1,3752,yoga,low,20,4,68
33,female,1.88,62,17.5,2980,strength,low,20,5,88
29,male,1.94,57,15.1,2469,strength,low,20,4,81
16,female,1.73,87,29.1,3414,bodyweight,low,57,3,354
23,male,1.48,90,41.1,3460,cardio,high,28,6,432
64,female,1.86,49,14.2,2013,yoga,low,20,3,70
56,male,1.67,106,38.0,2911,yoga,low,22,4,166
55,male,1.83,56,16.7,3272,yoga,low,20,4,80
18,male,1.71,78,26.7,2174,cardio+strength,medium,35,4,312
60,male,1.62,106,40.4,2663,yoga,low,21,3,159
27,female,1.51,78,34.2,3685,cardio,high,21,5,280
52,male,1.54,119,50.2,3978,yoga,low,25,4,212
17,male,1.49,113,50.9,2584,bodyweight,low,30,3,242
28,female,1.76,43,13.9,3539,strength,low,20,6,61
49,female,1.77,78,24.9,3478,cardio+strength,medium,47,6,418
40,female,1.68,47,16.7,2147,strength,low,20,4,67
41,female,1.68,83,29.4,3984,cardio+strength,high,44,5,626
60,female,1.82,84,25.4,3133,yoga,low,22,3,132
47,male,1.61,99,38.2,2001,cardio,high,24,6,407
30,male,1.5,77,34.2,3073,cardio,high,29,6,382
30,male,1.86,113,32.7,2780,cardio,high,23,5,445
46,female,1.7,79,27.3,3537,cardio+strength,high,40,4,541
40,female,1.93,67,18.0,3889,strength,low,20,5,95
18,male,1.59,116,45.9,3427,cardio,high,24,5,477
21,female,1.52,73,31.6,2998,cardio,high,26,6,325
17,female,1.48,111,50.7,2297,bodyweight,low,25,3,198
50,female,1.49,104,46.8,3344,yoga,high,28,3,499
54,male,1.51,52,22.8,3113,yoga,low,25,3,92
50,female,1.83,65,19.4,3967,yoga,medium,56,3,416
47,male,1.47,57,26.4,2864,cardio+strength,medium,40,4,260
24,male,1.61,118,45.5,2804,cardio,high,22,6,445
54,female,1.75,104,34.0,3587,yoga,low,28,3,208
60,female,1.69,42,14.7,3008,yoga,low,20,3,60
58,male,1.94,114,30.3,2760,yoga,low,30,2,244
53,female,1.58,114,45.7,3865,yoga,low,23,4,187
18,female,1.54,120,50.6,3057,cardio,high,22,5,452
17,male,1.55,96,40.0,2784,bodyweight,low,26,3,178
24,female,1.8,92,28.4,3555,cardio+strength,high,59,5,930
62,male,1.8,106,32.7,2349,yoga,low,28,3,212
57,female,1.71,80,27.4,2209,yoga,low,27,4,154
36,female,1.79,73,22.8,3998,cardio+strength,medium,55,4,458
30,female,1.73,68,22.7,2719,cardio+strength,medium,39,5,303
28,female,1.61,84,32.4,3795,cardio,high,24,6,345
22,female,1.9,90,24.9,2913,cardio+strength,medium,34,4,349
17,female,1.93,50,13.4,2918,bodyweight,low,20,3,71
43,female,1.82,67,20.2,2327,cardio+strength,medium,33,4,252
23,male,1.76,115,37.1,2480,cardio,high,23,5,453
57,male,1.77,46,14.7,1910,yoga,low,20,3,65
36,female,1.5,57,25.3,1521,cardio+strength,medium,30,4,195
56,female,1.69,65,22.8,2676,yoga,low,25,3,116
56,male,1.9,51,14.1,3851,yoga,low,20,2,72
49,male,1.91,62,17.0,3211,strength,low,20,4,88
17,female,1.84,63,18.6,2685,bodyweight,low,26,3,117
15,female,1.73,53,17.7,2872,bodyweight,low,20,3,75
33,female,1.94,109,29.0,3647,cardio+strength,high,55,4,1027
47,female,1.59,54,21.4,2854,cardio+strength,medium,30,4,185
56,female,1.81,41,12.5,2880,yoga,low,20,3,58
51,male,1.54,91,38.4,3251,yoga,low,28,3,182
20,female,1.78,63,19.9,2075,cardio+strength,medium,45,4,324
30,male,1.58,70,28.0,3329,cardio+strength,high,48,5,576
34,male,1.58,86,34.4,2467,cardio,high,20,5,294
44,female,1.53,104,44.4,2773,cardio,high,21,6,374
38,male,1.56,57,23.4,3458,cardio+strength,high,44,5,429
62,female,1.66,110,39.9,3428,yoga,low,28,4,220
28,male,1.79,116,36.2,1835,cardio,high,28,6,556
48,female,1.49,112,50.4,1959,cardio,high,20,5,384
51,male,1.53,106,45.3,3309,yoga,low,21,4,159
28,female,1.5,105,46.7,3324,cardio,high,20,6,360
23,female,1.68,47,16.7,3788,strength,low,20,5,67
58,female,1.81,90,27.5,2542,yoga,low,20,4,128
28,male,1.47,84,38.9,1761,cardio,high,28,5,403
19,female,1.47,92,42.6,2237,cardio,high,22,6,346
38,female,1.67,88,31.6,3038,cardio,high,21,5,316
56,female,1.51,108,47.4,3109,yoga,low,28,2,216
61,male,1.87,42,12.0,2722,yoga,low,20,3,60
58,female,1.72,69,23.3,2513,yoga,low,27,3,133
24,female,1.54,54,22.8,1631,cardio+strength,medium,43,5,265
64,male,1.57,48,19.5,1913,yoga,low,29,2,99
43,male,1.57,45,18.3,3147,strength,low,20,5,64
29,male,1.83,47,14.0,2073,strength,low,20,5,67
33,male,1.86,113,32.7,2806,cardio,high,29,6,561
30,female,1.89,106,29.7,2405,cardio+strength,medium,43,4,520
32,male,1.73,115,38.4,2217,cardio,high,30,6,591
50,female,1.47,84,38.9,3061,yoga,high,28,3,403
59,female,1.65,78,28.7,3041,yoga,low,22,4,122
45,male,1.87,78,22.3,2091,cardio+strength,medium,39,3,347
50,female,1.93,111,29.8,3670,yoga,high,44,3,837
30,female,1.55,50,20.8,3342,cardio+strength,medium,51,4,291
49,male,1.48,88,40.2,3977,cardio,high,29,5,437
19,male,1.85,115,33.6,3789,cardio,high,23,6,453
28,female,1.6,41,16.0,2367,strength,low,20,3,58
62,male,1.82,101,30.5,2493,yoga,low,29,4,209
28,female,1.91,110,30.2,2817,cardio,high,24,6,452
44,female,1.6,86,33.6,3600,cardio,high,27,6,398
21,female,1.83,80,23.9,2332,cardio+strength,medium,41,4,374
41,male,1.73,68,22.7,2097,cardio+strength,medium,25,4,194
50,female,1.6,65,25.4,2851,yoga,medium,32,3,237
51,male,1.7,83,28.7,2554,yoga,low,27,4,160
56,female,1.68,85,30.1,2193,yoga,low,22,4,133
49,female,1.54,109,46.0,1740,cardio,high,28,5,523
19,male,1.83,92,27.5,2063,cardio+strength,medium,37,3,389
60,male,1.45,104,49.5,3367,yoga,low,25,2,185
54,female,1.78,42,13.3,1527,yoga,low,20,4,60
50,female,1.46,107,50.2,2625,yoga,high,28,3,513
16,female,1.85,62,18.1,1938,bodyweight,low,20,3,88
21,male,1.57,119,48.3,3656,cardio,high,24,6,489
32,female,1.49,91,41.0,3380,cardio,high,29,5,452
59,male,1.6,50,19.5,1629,yoga,low,21,3,75
39,female,1.73,47,15.7,1538,strength,low,20,3,67
20,female,1.87,82,23.4,3817,cardio+strength,medium,43,6,402
17,male,1.56,112,46.0,3447,bodyweight,low,24,3,192
17,male,1.79,75,23.4,3724,bodyweight,low,58,3,310
57,male,1.54,80,33.7,1564,yoga,low,23,4,131
24,female,1.91,78,21.4,2165,cardio+strength,medium,37,5,329
39,female,1.64,57,21.2,1821,cardio+strength,medium,36,3,234
21,female,1.57,49,19.9,2895,cardio+strength,medium,42,4,235
16,female,1.84,97,28.7,3509,bodyweight,low,47,3,325
37,female,1.67,114,40.9,3056,cardio,high,21,6,410
30,male,1.49,59,26.6,3056,cardio+strength,high,60,4,606
62,female,1.61,53,20.4,1874,yoga,low,20,3,75
43,female,1.83,53,15.8,2042,strength,low,20,3,75
26,female,1.67,111,39.8,3598,cardio,high,26,5,494
16,male,1.63,51,19.2,3945,bodyweight,low,59,3,214
65,female,1.88,41,11.6,2695,yoga,low,20,3,58
39,male,1.81,111,33.9,2494,cardio,high,29,5,551
58,female,1.53,74,31.6,2733,yoga,low,24,3,126
24,male,1.53,75,32.0,3224,cardio,high,24,6,308
65,male,1.63,71,26.7,3530,yoga,low,29,4,147
27,female,1.5,78,34.7,1527,cardio,high,26,6,347
54,female,1.85,82,24.0,3303,yoga,low,25,3,146
56,male,1.6,117,45.7,2322,yoga,low,27,3,225
26,female,1.93,77,20.7,3511,cardio+strength,medium,58,4,510
35,female,1.59,90,35.6,2995,cardio,high,21,5,324
52,male,1.79,110,34.3,1610,yoga,low,27,4,212
28,female,1.85,48,14.0,3175,strength,low,20,6,68
46,male,1.77,70,22.3,2534,cardio+strength,medium,29,4,232
65,female,1.49,116,52.2,3462,yoga,low,29,3,240
49,female,1.72,86,29.1,3699,cardio+strength,high,59,6,869
20,male,1.83,85,25.4,2181,cardio+strength,medium,31,5,301
56,female,1.93,82,22.0,3263,yoga,low,21,2,123
21,female,1.56,106,43.6,3785,cardio,high,29,5,526
43,female,1.65,115,42.2,3549,cardio,high,22,6,433
16,female,1.5,93,41.3,1851,bodyweight,low,21,3,139
61,male,1.62,83,31.6,3365,yoga,low,23,4,136
45,female,1.69,96,33.6,3353,cardio,high,25,5,411
34,male,1.86,54,15.6,1592,strength,low,20,4,77
56,male,1.79,61,19.0,2499,yoga,low,28,2,122
50,male,1.62,94,35.8,3392,yoga,high,23,3,370
55,male,1.54,95,40.1,3120,yoga,low,20,4,135
54,male,1.67,94,33.7,3092,yoga,low,20,4,134
28,male,1.59,48,19.0,3864,cardio+strength,high,43,6,353
26,female,1.61,98,37.8,1966,cardio,high,24,6,403
48,female,1.75,118,38.5,3107,cardio,high,29,5,586
37,female,1.87,119,34.0,2206,cardio,high,30,6,612
54,male,1.79,80,25.0,1982,yoga,low,23,3,131
22,male,1.64,58,21.6,3592,cardio+strength,high,52,5,517
53,male,1.74,94,31.0,2260,yoga,low,27,4,181
49,male,1.73,102,34.1,2683,cardio,high,22,5,384
35,female,1.76,85,27.4,1539,cardio+strength,medium,45,3,437
27,female,1.93,104,27.9,3527,cardio+strength,high,53,6,944
46,female,1.81,96,29.3,3501,cardio+strength,high,45,4,740
51,male,1.85,68,19.9,2696,yoga,low,20,3,97
29,female,1.53,98,41.9,3816,cardio,high,27,5,453
51,male,1.58,109,43.7,3002,yoga,low,28,2,218
63,female,1.72,94,31.8,1919,yoga,low,30,2,201
34,male,1.67,84,30.1,1856,cardio,high,27,5,388
64,male,1.55,115,47.9,2936,yoga,low,29,4,238
42,male,1.76,66,21.3,2347,cardio+strength,medium,26,4,196
49,female,1.75,61,19.9,2825,cardio+strength,medium,34,4,237
51,female,1.93,105,28.2,1890,yoga,low,22,3,165
18,female,1.88,56,15.8,2043,strength,low,20,3,80
24,female,1.86,90,26.0,3504,cardio+strength,high,44,6,678
55,female,1.76,88,28.4,3351,yoga,low,21,4,132
65,male,1.65,75,27.5,3011,yoga,low,27,3,144
35,male,1.88,51,14.4,3377,strength,low,20,6,72
57,female,1.88,108,30.6,3129,yoga,low,23,3,177
28,female,1.58,76,30.4,2883,cardio,high,28,5,364
51,female,1.84,46,13.6,1688,yoga,low,20,2,65
55,female,1.46,60,28.1,3307,yoga,low,27,2,115
42,male,1.95,56,14.7,2736,strength,low,20,3,80
32,male,1.78,72,22.7,1837,cardio+strength,medium,41,5,337
56,male,1.48,120,54.8,2751,yoga,low,23,3,197
56,male,1.8,40,12.3,2374,yoga,low,20,3,57
19,male,1.75,106,34.6,3322,cardio,high,20,5,363
59,female,1.86,94,27.2,2041,yoga,low,27,2,181
